size: 75, deg: 2, lambda: 0, train error: 7974.864687613457,val error: 10345.676651760468, test error: 9599.846086878464
size: 75, deg: 2, lambda: 1.522997974471263e-08, train error: 7974.864687613459,val error: 10345.676651959058, test error: 9599.846090139405
size: 75, deg: 2, lambda: 1, train error: 7990.336992623145,val error: 10376.374694233215, test error: 9810.157153469203
size: 75, deg: 3, lambda: 0, train error: 7129.033288962072,val error: 10390.529106370488, test error: 10599.06785982358
size: 75, deg: 3, lambda: 1.522997974471263e-08, train error: 7129.033288962072,val error: 10390.529104666979, test error: 10599.067862835673     
size: 75, deg: 3, lambda: 1, train error: 7146.318110596067,val error: 10310.327776535885, test error: 10794.562151768436
size: 75, deg: 6, lambda: 0, train error: 1.295443926018486e-07,val error: 2.1407724109295725e-07, test error: 1.0973723419011052e-07
size: 75, deg: 6, lambda: 1.522997974471263e-08, train error: 2.865097488583566e-07,val error: 1.627430456567448e-07, test error: 3.119303059368351e-07
size: 75, deg: 6, lambda: 1, train error: 0.00010236572627067515,val error: 0.0008891108579094454, test error: 0.00036724286611104453
size: 300, deg: 2, lambda: 0, train error: 10215.103712056283,val error: 11235.906489422008, test error: 13104.00555565769
size: 300, deg: 2, lambda: 1.522997974471263e-08, train error: 10215.103712056283,val error: 11235.906489492116, test error: 13104.005555511874
size: 300, deg: 2, lambda: 1, train error: 10216.331135837007,val error: 11241.44369892127, test error: 13095.700626223124
size: 300, deg: 3, lambda: 0, train error: 9837.441846420814,val error: 11249.38824997274, test error: 12819.288407532958
size: 300, deg: 3, lambda: 1.522997974471263e-08, train error: 9837.441846420816,val error: 11249.388250071463, test error: 12819.288407424528    
size: 300, deg: 3, lambda: 1, train error: 9838.643757245254,val error: 11256.760020618764, test error: 12813.378881242557
size: 300, deg: 6, lambda: 0, train error: 7.201829800221379e-08,val error: 4.88951176129962e-08, test error: 7.792377805073761e-08
size: 300, deg: 6, lambda: 1.522997974471263e-08, train error: 7.014592002899e-08,val error: 4.3038867225601104e-08, test error: 6.844932000467617e-08
size: 300, deg: 6, lambda: 1, train error: 1.4559213838990247e-05,val error: 1.8296456991015626e-05, test error: 1.929279424412957e-05
size: 750, deg: 2, lambda: 0, train error: 10954.365499546657,val error: 11442.559652383547, test error: 10122.636532282651
size: 750, deg: 2, lambda: 1.522997974471263e-08, train error: 10954.365499546657,val error: 11442.559652395352, test error: 10122.636532252473
size: 750, deg: 2, lambda: 1, train error: 10954.520845642619,val error: 11443.483005304408, test error: 10120.853096599245
size: 750, deg: 3, lambda: 0, train error: 10734.614609823784,val error: 11310.071550020322, test error: 10252.91737788857
size: 750, deg: 3, lambda: 1.522997974471263e-08, train error: 10734.614609823782,val error: 11310.071550040177, test error: 10252.917377850856   
size: 750, deg: 3, lambda: 1, train error: 10734.77435971993,val error: 11311.524565870694, test error: 10250.640184822842
size: 750, deg: 6, lambda: 0, train error: 3.900363764521241e-08,val error: 3.179302698106568e-08, test error: 3.872349847540691e-08
size: 750, deg: 6, lambda: 1.522997974471263e-08, train error: 3.391430977497504e-08,val error: 3.032863932415083e-08, test error: 3.0994702375582785e-08
size: 750, deg: 6, lambda: 1, train error: 5.138932164198148e-06,val error: 5.2991184705814975e-06, test error: 5.590114340230384e-06
